[2023-03-06 14:35:55,607] [main] INFO org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration Eureka HTTP Client uses RestTemplate.
[2023-03-06 14:35:56,421] [main] WARN org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
[2023-03-06 14:35:56,494] [main] INFO org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
[2023-03-06 14:35:56,972] [main] INFO com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
[2023-03-06 14:35:56,993] [main] INFO com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
[2023-03-06 14:35:57,062] [main] INFO com.netflix.discovery.DiscoveryClient Disable delta property : false
[2023-03-06 14:35:57,062] [main] INFO com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
[2023-03-06 14:35:57,068] [main] INFO com.netflix.discovery.DiscoveryClient Force full registry fetch : false
[2023-03-06 14:35:57,070] [main] INFO com.netflix.discovery.DiscoveryClient Application is null : false
[2023-03-06 14:35:57,070] [main] INFO com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
[2023-03-06 14:35:57,070] [main] INFO com.netflix.discovery.DiscoveryClient Application version is -1: true
[2023-03-06 14:35:57,070] [main] INFO com.netflix.discovery.DiscoveryClient Getting all instance registry info from the eureka server
[2023-03-06 14:35:58,169] [main] INFO com.netflix.discovery.DiscoveryClient The response status is 200
[2023-03-06 14:35:58,176] [main] INFO com.netflix.discovery.DiscoveryClient Starting heartbeat executor: renew interval is: 30
[2023-03-06 14:35:58,183] [main] INFO com.netflix.discovery.InstanceInfoReplicator InstanceInfoReplicator onDemand update allowed rate per min is 4
[2023-03-06 14:35:58,196] [main] INFO com.netflix.discovery.DiscoveryClient Discovery Client initialized at timestamp 1678134958193 with initial instances count: 2
[2023-03-06 14:35:58,202] [main] INFO org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Registering application UNKNOWN with eureka with status UP
[2023-03-06 14:35:58,204] [main] INFO com.netflix.discovery.DiscoveryClient Saw local status change event StatusChangeEvent [timestamp=1678134958204, current=UP, previous=STARTING]
[2023-03-06 14:35:58,214] [main] INFO org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8080"]
[2023-03-06 14:35:58,220] [DiscoveryClient-InstanceInfoReplicator-0] INFO com.netflix.discovery.DiscoveryClient DiscoveryClient_UNKNOWN/DESKTOP-67ATF2C: registering service...
[2023-03-06 14:35:58,366] [main] INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8080 (http) with context path ''
[2023-03-06 14:35:58,499] [main] INFO org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration Updating port to 8080
[2023-03-06 14:35:58,582] [DiscoveryClient-InstanceInfoReplicator-0] INFO com.netflix.discovery.DiscoveryClient DiscoveryClient_UNKNOWN/DESKTOP-67ATF2C - registration status: 204
