[2023-03-06 14:35:59,309] [main] INFO com.logging.logapplication.LogapplicationApplication Started LogapplicationApplication in 18.917 seconds (process running for 21.1)
[2023-03-06 14:36:42,730] [http-nio-8080-exec-1] INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2023-03-06 14:36:42,732] [http-nio-8080-exec-1] INFO org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
[2023-03-06 14:36:42,737] [http-nio-8080-exec-1] INFO org.springframework.web.servlet.DispatcherServlet Completed initialization in 4 ms
[2023-03-06 14:36:42,988] [http-nio-8080-exec-1] INFO com.logging.logapplication.controller.logController Running info log..
[2023-03-06 14:36:42,990] [http-nio-8080-exec-1] WARN com.logging.logapplication.controller.logController Running warn log..
[2023-03-06 14:36:42,990] [http-nio-8080-exec-1] ERROR com.logging.logapplication.controller.logController Running error log..
[2023-03-06 14:37:24,916] [SpringApplicationShutdownHook] INFO org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Unregistering application UNKNOWN with eureka with status DOWN
[2023-03-06 14:37:24,917] [SpringApplicationShutdownHook] INFO com.netflix.discovery.DiscoveryClient Saw local status change event StatusChangeEvent [timestamp=1678135044917, current=DOWN, previous=UP]
[2023-03-06 14:37:24,918] [DiscoveryClient-InstanceInfoReplicator-0] INFO com.netflix.discovery.DiscoveryClient DiscoveryClient_UNKNOWN/DESKTOP-67ATF2C: registering service...
[2023-03-06 14:37:24,931] [DiscoveryClient-InstanceInfoReplicator-0] INFO com.netflix.discovery.DiscoveryClient DiscoveryClient_UNKNOWN/DESKTOP-67ATF2C - registration status: 204
[2023-03-06 14:37:24,984] [SpringApplicationShutdownHook] INFO org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-03-06 14:37:24,990] [SpringApplicationShutdownHook] INFO com.zaxxer.hikari.HikariDataSource HikariPool-1 - Shutdown initiated...
[2023-03-06 14:37:24,997] [SpringApplicationShutdownHook] INFO com.zaxxer.hikari.HikariDataSource HikariPool-1 - Shutdown completed.
[2023-03-06 14:37:24,998] [SpringApplicationShutdownHook] INFO com.netflix.discovery.DiscoveryClient Shutting down DiscoveryClient ...
[2023-03-06 14:37:28,002] [SpringApplicationShutdownHook] INFO com.netflix.discovery.DiscoveryClient Unregistering ...
[2023-03-06 14:37:28,014] [SpringApplicationShutdownHook] INFO com.netflix.discovery.DiscoveryClient DiscoveryClient_UNKNOWN/DESKTOP-67ATF2C - deregister  status: 200
[2023-03-06 14:37:28,027] [SpringApplicationShutdownHook] INFO com.netflix.discovery.DiscoveryClient Completed shut down of DiscoveryClient
[2023-03-08 09:35:37,950] [main] INFO com.logging.logapplication.LogapplicationApplication Starting LogapplicationApplication using Java 19.0.2 with PID 3028 (C:\Users\vamsi\IdeaProjects\logapplication\logapplication\target\classes started by vamsi in C:\Users\vamsi\IdeaProjects\logapplication)
[2023-03-08 09:35:37,976] [main] INFO com.logging.logapplication.LogapplicationApplication No active profile set, falling back to 1 default profile: "default"
